"Number of chemical structures in Fig.","Inhibitor","Testing model","Activity IC50 (μmol/L)","Toxicity CC50 (μmol/L)","Clinical information","Ref."
"Fig. 5 (11)","Tafenoquine","In vitro","~ 2.6","≥50","Preclinical","73"
"Fig. 5 (12)","12","In vitro","0.25 ± 0.15","≥100","Preclinical","74"
"Fig. 5 (13)","13","In vitro","0.15 ± 0.14","63.3 ± 2.3","Preclinical","74"
"Fig. 5 (14)","14","In vitro","0.9 ± 0.8","≥100","Preclinical","74"
"Fig. 5 (15)","15","In vitro","0.8 ± 0.7","≥100","Preclinical","74"
"Fig. 5 (16)","Baicalin","In vitro","10.27","≥200","Preclinical","75"
"Fig. 5 (17)","Baicalein","In vitro","1.69","≥200","Preclinical","75"
"Fig. 5 (18)","Masitinib","In vitro","3.2","–","Preclinical","78"
"Fig. 5 (19)","Ebselen","In vitro","4.67 ± 0.80","–","Preclinical","79"
"Fig. 5 (20)","N3","In vitro","16.77 ± 1.70","–","Preclinical","79"
"Fig. 5 (21)","Cinanserin","In vitro","20.61 ± 0.97","≥200","Preclinical","79"
"Fig. 5 (22)","22","In vitro","0.53 ± 0.01","≥100","Preclinical","82"
"Fig. 5 (23)","23","In vitro","0.72 ± 0.09","≥100","Preclinical","82"
"Fig. 5 (24)","24","In vitro","4–5","–","Preclinical","83"
"Fig. 5 (25)","GC373","In vitro","1.5","≥200","Preclinical","84"
"Fig. 5 (26)","GC376","In vitro","0.92","≥200","Preclinical","84"
"Fig. 5 (27)","27","In vitro","2.883 ± 0.227","≥100","Preclinical","85"
"Fig. 5 (28)","Boceprevir","In vitro","1.31 ± 0.58","≥100","Preclinical","86"
"Fig. 5 (29)","Calpain inhibitors II","In vitro","2.07 ± 0.76","≥100","Preclinical","86"
"Fig. 5 (30)","Calpain inhibitors XII","In vitro","0.49 ± 0.18","≥100","Preclinical","86"
"Fig. 5 (31)","Bepridil","In vitro","0.86",">25","Preclinical","92"
"Fig. 5 (32)","MPI5","In vitro","2.5–5","–","Preclinical","93"
"Fig. 5 (33)","MPI8","In vitro","1.25–2.5","–","Preclinical","93"
"Fig. 5 (34)","Nelfinavir mesylate","In vivo","3.3","12.3","Preclinical","94"
"Fig. 5 (35)","Z-FA-FMK","In vitro","0.13","≥50","Preclinical","95"
"Fig. 5 (36)","DA-3003-1","In vitro","4.47","7.74","Preclinical","95"
"Fig. 5 (37)","MG-115","In vitro","0.023","1.13","Preclinical","95"
"Fig. 5 (38)","MK0893","In vitro","3.16","12.59","Preclinical","95"
"Fig. 5 (39)","Suramin","In vitro","~20","≥5000","Preclinical","96"
"Fig. 5 (40)","Lopinavir","In vitro","26.63","49.75","Phase 2 (NCT04276688, NCT04315948)","99,104,124"
"Fig. 5 (41)","Ritonavir","In vitro","≥100","48.91","Phase 2 NCT04276688","99,"
"Fig. 5 (42)","Dipyridamole (DIP)","In vitro","0.1","–","Preclinical","106"
"Fig. 5 (43)","GRL-0920","In vitro","2.8","≥100","Preclinical","107"
"Fig. 5 (44)","MI-09","In vivo","0.86","–","Preclinical","108"
"Fig. 5 (45)","MI-30","In vivo","0.54","–","Preclinical","108"
"Fig. 5 (46)","Dasatinib","–","–","–","Clinical cases","114"
"Fig. 5 (47)","Dronedarone","In vitro","4.5","12.1","Preclinical","94"
"Fig. 5 (48)","48","In vitro","21.0","≥80","Preclinical","109"
"Fig. 5 (49)","GRL-0617","In vitro","2.1","≥100","Preclinical","117"
"Fig. 5 (50)","Remdesivir","In vivo","0.77","≥100","Phase 4 (NCT04252664, NCT04257656, NCT04315948)","19,124,119,125"
"Fig. 5 (51)","Favipiravir","In vitro","61.88",">400","ChiCTR2000029600, ChiCTR2000030254","19"
"Fig. 5 (52)","β-d-N4-Hydroxycytidine (EIDD-1931)","In vitro","0.3",">10","Preclinical","120"
"Fig. 5 (53)","Dolutegravir","In vitro","22.04","≥40","Preclinical","146"
"Fig. 6 (54)","Tipranavir","In vitro","13.34","76.80","Preclinical","152"
"Fig. 6 (55)","Saquinavir","In vitro","8.83","44.43","Preclinical","152"
"Fig. 6 (56)","Atazanavir","In vitro","9.36",">81","Preclinical","152"
"Fig. 6 (57)","Azithromycin","In vitro","2.12",">40","Phase 2 NCT04329832","146"
"Fig. 6 (58)","Spiperone","In vitro","2.49",">40","Preclinical","146"
"Fig. 6 (59)","Opipramol dihydrochloride","In vitro","5.05",">40","Preclinical","146"
"Fig. 6 (60)","Quinidine hydrochloride","In vitro","5.11",">40","Preclinical","146"
"Fig. 6 (61)","Alprostadil","In vitro","5.39",">40","Preclinical","146"
"Fig. 6 (62)","Ivermectin","In vitro","~2","–","Preclinical","157"
"In vitro","4.1","13.2","Preclinical","94"
"Fig. 6 (63)","Penciclovir","In vitro","95.96",">400","Preclinical","19"
