Inhibitor,SMILES
Camostat mesylate,CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O
Nafamostat,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
MI-432,C1CN(CCC1CCN)C(=O)C(CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=CC=CC(=C3)C4=C(C=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
Amantadine,C1C2CC3CC1CC(C2)(C3)N
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
E64-d,CCOC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C
Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
Calpain inhibitors XII,CCCC(C(=O)C(=O)NCC1=CC=CC=N1)NC(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2
Leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
Brequinar,CC1=C(C2=C(C=CC(=C2)F)N=C1C3=CC=C(C=C3)C4=CC=CC=C4F)C(=O)O
S312,C1=CC=C(C(=C1)C=NNC2=NC(=CS2)C3=CC=CC=C3Cl)C(=O)O
S416,CN(C1=NC(=CS1)C2=CC=CC=C2Cl)N=CC3=CC=CC=C3C(=O)O
ROC-325,CC1=C2C(=C(C=C1)NCCN(C)CCNC3=C4C=CC(=CC4=NC=C3)Cl)C(=O)C5=CC=CC=C5S2
Clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
Hycanthone,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O
